1,101,1,1,,2,0,"O"
2,102,1,2,,2,0,"O"
3,103,1,2,,2,0,"O"
4,104,1,2,,2,0,"O"
5,105,1,2,,2,0,"V"
6,106,1,2,,2,0,"O"
7,107,1,1,,2,0,"V"
8,108,1,2,,2,0,"V"
9,109,1,1,,2,0,"V"
10,110,1,1,,2,0,"V"
11,201,2,7,,2,0,"O"
12,202,2,8,,2,0,"V"
13,203,2,3,,2,0,"O"
14,204,2,4,,2,0,"V"
15,205,2,3,,2,0,"O"
16,206,2,3,,2,0,"O"
17,207,2,4,,2,0,"V"
18,208,2,3,,2,0,"O"
19,209,2,4," ",2,0,"V"
20,210,2,4,,2,0,"O"
21,211,2,3,,2,0,"O"
22,212,2,3,,2,0,"V"
23,213,2,1,,2,0,"O"
24,214,2,4,,2,0,"O"
25,215,2,3,,2,0,"O"
26,216,2,3,,2,0,"O"
27,217,2,1,,2,0,"V"
28,218,2,1,,2,0,"O"
29,301,3,10,,2,0,"O"
30,302,3,9,,2,0,"V"
31,303,3,7,,2,0,"V"
32,304,3,7,,2,0,"O"
33,305,3,5,,2,0,"O"
34,306,3,5,,2,0,"O"
35,307,3,5,,2,0,"O"
36,308,3,5,,2,0,"O"
37,309,3,6,,2,0,"V"
38,310,3,5,,2,0,"O"
39,311,3,6,,2,0,"O"
40,312,3,5,,2,0,"V"
41,313,3,5,,2,0,"V"
42,314,3,5,,2,0,"O"
43,315,3,6,,2,0,"O"
44,316,3,6,,2,0,"V"
45,317,3,5,,2,0,"O"
46,318,3,5,,2,0,"O"
47,319,3,2,,2,0,"V"
48,320,3,2,,2,0,"V"
49,401,4,5,,2,0,"V"
50,402,4,6,"Store",2,0,"V"
51,403,4,8,,2,0,"V"
52,410,4,5,,2,0,"V"
53,411,4,5,,2,0,"O"
54,412,4,5,,2,0,"V"
55,413,4,5,,2,0,"V"
56,414,4,5,,2,0,"V"
57,415,4,5,,2,0,"V"
58,416,4,5,,2,0,"V"
59,417,4,5,,2,0,"V"
60,418,4,5,,2,0,"V"
61,419,4,5,,2,0,"V"
62,421,4,5,,2,0,"V"
63,422,4,5,,2,0,"V"
64,423,4,5,,2,0,"V"
65,424,4,5,,2,0,"V"
66,425,4,5,,2,0,"V"
67,426,4,5,,2,0,"V"
68,427,4,5,,2,0,"V"
69,428,4,5,,2,0,"V"
70,429,4,5,,2,0,"V"
71,430,4,5,,2,0,"V"
72,431,4,5,,2,0,"V"
